,PostalCode,Neighborhood
0,98003,Federal Way
1,98005,Bellevue
2,98033,Kirkland
3,98037,Lynnwood
4,98040,Mercer Island
5,98052,Redmond
6,98055,Renton
7,98101,Seattle
8,98101,Downtown
9,98102,Capital Hill
10,98103,Greenwood
11,98103,Freemont
12,98103,Greenlake
13,98104,International District
14,98104,Pioneer Square
15,98105,University District
16,98105,Laurelhurst
17,98107,Ballard
18,98109,South
19,98109,Queen Anne
20,98110,Bainbridge Island
21,98110,Madrona
22,98116,West Seattle
23,98116,Alki Beach
24,98118,Columbia City
25,98121,Belltown
26,98125,Northgate
27,98144,Mount Baker
28,98199,Magnolia
